code,kr-name
UHC200,공장설립유도지역
UHC999,공장입지기타
UHD000,자유무역지역설치용도지구미분류
UHD100,자유무역지역
UHD110,생산지구
UHD120,자유지구
UHD130,기타지구
UHD999,자유무역지역설치용도지구기타
UHE000,유통단지미분류
UHE100,유통단지
UHE999,유통단지기타
UHF000,협동화단지미분류
UHF100,협동화단지
UHF999,협동화단지기타
UHG000,벤처기업육성용도지역미분류
UHG200,벤처기업육성촉진지구
UHG999,벤처기업육성용도지역기타
UHH000,산업집적활성화및공장설립용도지역미분류
UHH100,과밀억제지역
UHH200,성장관리지역
UHH300,자연보전지역
UHH400,유치지역
UHH999,산업집적활성화및공장설립용도지역기타
UHI000,자유무역지역지정및운영자유무역지역지정및운영용도지구미분류
UHI100,자유무역지구
UHI110,생산시설지구
UHI120,물류시설지구
UHI130,지원시설지구
UHI140,자유무역예정지구
UHI999,자유무역지역지정및운영용도지구기타
UHJ000,산업시설미분류
UHJ100,산업시설구역
UHJ200,지원시설구역
UHJ300,공공시설구역
UHJ400,녹지구역
UHJ999,기타
UHK000,물류단지미분류
UHK100,물류단지
UHK999,물류단지기타
UHL000,산업기술단지미분류
UHL100,산업기술단지
UHL999,산업기술단지기타
UHZ000,공업기타용도지역지구미분류
UHZ100,공업기타용도지역지구용도지역지구
UHZ999,공업기타용도지역지구기타
UIA000,도로용도구역미분류
UIA100,도로구역
UIA200,접도구역
UIA300,입체적도로구역
UIA400,도로보전입체구역
UIA500,자동차전용도로구역
UIA999,도로용도구역기타
UIB000,고속국도법상의미분류
UIB100,고속국도법상의접도구역
UIB999,고속국도법상의기타
UIC000,철도선로인접지역미분류
UIC100,철도선로인접지역
UIC999,철도선로인접지역기타
UIE000,항만미분류
UIE100,항만구역
UIE200,연안항
UIE300,무역항
UIE400,지방항만
UIE500,임항구역
UIE510,임항지역
UIE600,항만배후단지
UIE999,항만기타
UIF000,신항만미분류
UIF100,신항만건설예정지역
UIF999,신항만기타
UIG000,공항구역미분류
UIG100,공항구역
UIG200,공항개발예정지역
UIG300,공항소음피해지역
UIG310,제1종구역
UIG320,제2종구역
UIG330,제3종구역
UIG400,공항소음피해예상지역
UIG410,가지구
UIG420,나지구
UIG430,다지구
UIG500,항공표면
UIG510,진입표면구역
UIG520,수평표면구역
UIG530,원추표면구역
UIG540,전이표면구역
UIG550,착륙복행표면구역
UIG560,내부전이표면구역
UIG570,내부진입표면구역
UIG600,장애물제한표면구역
UIG999,공항구역기타
UIH000,수도권신공항건설예정지역미분류
UIH100,수도권신공항건설예정지역
UIH999,수도권신공항건설예정지역기타
UII000,도시교통정비지역미분류
UII100,도시교통정비지역
UII999,도시교통정비지역기타
UIJ000,주차장미분류
UIJ100,노상주차장
UIJ200,노외주차장
UIJ300,부설주차장
UIJ400,주차환경개선지구
UIJ500,노외주차장설치제한지역
UIJ999,주차장기타
UIK000,철도안전용도지역미분류
UIK100,철도보호지구
UIK999,철도안전용도지역기타
UIL000,마리나항만구역미분류
UIL100,미리나항만구역
UIL999,미리나항만구역기타
UIM000,복합환승센터미분류
UIM100,복합환승센터
UIM200,국가기간복합환승센터
UIM300,광역복합환승센터
UIM500,일반복합환승센터
UIM999,복합환승센터기타
UIN000,소음대책지역미분류
UIN100,제1종 구역
UIN200,제2종 구역
UIN300,제3종 구역
UIN999,소음대책지역기타
UIZ000,교통기타용도지역지구미분류
UIZ100,교통기타용도지역지구용도지역지구
UIZ999,교통기타용도지역지구기타
UJA000,댐건설예정지역미분류
UJA100,댐건설예정지역
UJA999,댐건설예정지역기타
UJB000,하천미분류
UJB100,하천구역
UJB200,하천예정지
UJB300,연안구역
UJB400,홍수관리구역
UJB999,하천기타
UJC000,소하천미분류
UJC100,소하천구역
UJC200,소하천예정지
UJC999,소하천기타
UJD000,온천지구미분류
UJD100,온천지구
UJD200,온천공보호구역
UJD300,온천원보호지구
UJD999,온천지구기타
UJE000,지하수보전구역미분류
UJE100,지하수보전구역
UJE999,지하수보전구역기타
UJF000,공유수면미분류
UJF100,공유수면
UJF200,공유수면매립지
UJF999,공유수면기타
UJG000,친수구역미분류
UJG100,친수구역
UJG999,친수구역기타
UJZ000,수자원기타용도지역지구미분류
UJZ100,수자원기타용도지역지구용도지역지구
UJZ999,수자원기타용도지역지구기타
