PNU,Year,Month,Price,DealArea,PblntfPclnd,RegstrSe,Lndcgr,LndpclAr,PrposArea1,PrposArea2,LadUseSittn,TpgrphHg,TpgrphFrm,RoadSide,PclndIndex,PclndChgRt,AcmtlPclndChgRt,LargeClPclndIndex,LargeClPclndChgRt,LargeClAcmtlPclndChgRt,PPI,CPI,MT1,MT1_500m,MT1_1000m,MT1_3000m,CS2,CS2_500m,CS2_1000m,CS2_3000m,PS3,PS3_500m,PS3_1000m,PS3_3000m,SC4,SC4_500m,SC4_1000m,SC4_3000m,AC5,AC5_500m,AC5_1000m,AC5_3000m,PK6,PK6_500m,PK6_1000m,PK6_3000m,OL7,OL7_500m,OL7_1000m,OL7_3000m,SW8,SW8_500m,SW8_1000m,SW8_3000m,BK9,BK9_500m,BK9_1000m,BK9_3000m,CT1,CT1_500m,CT1_1000m,CT1_3000m,AG2,AG2_500m,AG2_1000m,AG2_3000m,PO3,PO3_500m,PO3_1000m,PO3_3000m,AT4,AT4_500m,AT4_1000m,AT4_3000m,AD5,AD5_500m,AD5_1000m,AD5_3000m,FD6,FD6_500m,FD6_1000m,FD6_3000m,CE7,CE7_500m,CE7_1000m,CE7_3000m,HP8,HP8_500m,HP8_1000m,HP8_3000m,PM9,PM9_500m,PM9_1000m,PM9_3000m,LandUsePlans
4122025629109480006,2015,11,43000,5739.0,35100,Re1,Lc02,5739,A171,A200,Us610,Hg02,Fm04,Rs08,72.17,0.588,2.286,77.374,0.167,1.556,98.32,94.786,3255,0,0,0,1200,0,0,8,1452,0,0,19,1444,0,0,2,2456,0,0,14,2823,0,0,1,4124,0,0,0,7837,0,0,0,2818,0,0,3,2489,0,0,1,2506,0,0,6,4654,0,0,0,229,1,1,16,1200,0,0,1,1056,0,0,28,2491,0,0,6,3263,0,0,0,3265,0,0,0,UEA110(1)/UQC001(1)/UMZ100(2)
4122025923114280007,2017,6,45999,5187.0,34500,Re1,Lc02,5187,A171,A200,Us610,Hg02,Fm02,Rs08,78.551,0.761,3.788,80.574,0.327,1.686,100.81,97.338,4218,0,0,0,2318,0,0,3,3003,0,0,0,2523,0,0,3,3449,0,0,0,3551,0,0,0,4626,0,0,0,9318,0,0,0,2554,0,0,2,2113,0,0,1,3518,0,0,0,5349,0,0,0,1206,0,0,15,2318,0,0,2,1803,0,0,10,2561,0,0,2,4234,0,0,0,4225,0,0,0,UMZ100(1)/UEA110(1)/UQC001(1)
4122025923113770003,2018,2,41000,5769.0,35000,Re1,Lc02,5769,A171,A200,Us610,Hg02,Fm04,Rs08,82.105,0.422,0.87,82.397,0.258,0.519,102.95,98.855,4101,0,0,0,1940,0,0,3,2866,0,0,1,2855,0,0,2,3395,0,0,0,3443,0,0,0,4292,0,0,0,9301,0,0,0,1939,0,0,2,2835,0,0,1,3094,0,0,0,4837,0,0,0,521,0,3,12,3000,0,0,0,1905,0,0,9,1949,0,0,1,4121,0,0,0,4034,0,0,0,UMZ100(1)/UEA110(1)/UQC001(1)
4159037024115840000,2019,6,46000,5220.0,35300,Re1,Lc02,5220,A171,A200,Us610,Hg02,Fm07,Rs08,88.63,0.341,1.864,87.355,0.35,2.056,103.5,99.491,4604,0,0,0,1747,0,0,10,3581,0,0,0,2481,0,0,1,4549,0,0,0,2414,0,0,1,2713,0,0,1,7452,0,0,0,2146,0,0,9,4171,0,0,0,1389,0,0,6,4742,0,0,0,900,0,1,17,3204,0,0,0,1747,0,0,28,2285,0,0,5,3753,0,0,0,2745,0,0,1,UMZ100(1)/UQC001(1)/UJB400(1)/UEA110(1)/UBA200(1)/UNE413(1)
4159037024100030017,2014,11,77658,56804.0,40800,Re1,Lc05,56804,A164,A262,Us720,Hg03,Fm07,Rs08,76.903,0.042,1.059,76.105,0.1,1.126,103.15,94.015,4128,0,0,0,788,0,1,12,3475,0,0,0,2287,0,0,1,4064,0,0,0,1838,0,0,2,1787,0,0,2,7006,0,0,0,1506,0,0,9,4573,0,0,0,1396,0,0,10,3930,0,0,0,302,1,2,16,3167,0,0,0,788,0,1,42,1532,0,0,6,2863,0,0,1,1797,0,0,1,UMZ100(1)/UQB200(3)/UQQ902(3)/UQQ902(2)/UBA200(1)/UNE413(1)/UQB100(2)/UQB300(2)
4159037024112150000,2021,4,61000,5887.0,38500,Re1,Lc02,5887,A171,A200,Us610,Hg02,Fm05,Rs08,94.846,0.349,1.231,94.054,0.357,1.33,108.06,101.98,2941,0,0,1,977,0,1,30,2327,0,0,9,2709,0,0,3,2866,0,0,4,1407,0,0,2,1340,0,0,5,5768,0,0,0,1338,0,0,17,3839,0,0,0,1009,0,0,27,3740,0,0,0,395,1,2,18,3173,0,0,0,977,0,1,117,905,0,1,13,1438,0,0,3,1342,0,0,3,UMZ100(1)/UQC001(1)/UEA110(1)/UBA200(1)/UNE413(1)
4159025924110790038,2014,7,104000,7400.0,38600,Re1,Lc05,7400,A164,A200,Us720,Hg02,Fm07,Rs10,76.688,0.095,0.777,75.813,0.109,0.737,104.69,94.386,2072,0,0,1,860,0,1,47,1440,0,0,15,2018,0,0,3,2003,0,0,5,1667,0,0,3,1911,0,0,6,4941,0,0,0,1113,0,0,27,3314,0,0,0,1524,0,0,49,4611,0,0,0,232,1,1,20,2303,0,0,1,1073,0,0,217,1195,0,0,27,1635,0,0,5,2061,0,0,4,UMZ100(1)/UQQ902(1)/UQC001(3)/UBA200(1)/UNE413(1)/UEA110(3)/UQB100(2)/UFM110(3)
4159037023200320005,2013,5,39323,10278.0,22100,Re2,Lc05,10278,A162,A271,Us720,Hg03,Fm05,Rs12,75.543,0.101,0.612,74.881,0.133,0.406,104.57,92.823,1936,0,0,1,992,0,2,45,1318,0,0,19,817,0,1,4,1861,0,0,5,999,0,1,7,1023,0,0,10,4279,0,0,0,1297,0,0,24,1945,0,0,2,959,0,1,51,4066,0,0,0,214,1,3,27,1740,0,0,14,842,0,8,225,1016,0,0,31,892,0,1,5,1634,0,0,5,UMZ100(1)/UJD100(2)/UFM110(2)/UQC001(2)/UBA200(1)/UQB300(2)
4159036036100810000,2017,4,159365,15687.0,95200,Re1,Lc02,16316,A164,A200,Us610,Hg03,Fm07,Rs06,81.522,0.433,1.422,80.037,0.324,1.009,101.48,97.442,1718,0,0,2,698,0,7,45,399,1,1,29,127,1,1,7,1667,0,0,23,971,0,2,9,783,0,1,11,3501,0,0,0,886,0,2,19,1026,0,0,3,687,0,7,53,3177,0,0,0,340,2,4,27,885,0,5,17,392,2,40,263,689,0,3,35,1007,0,0,15,715,0,1,7,UMZ100(1)/UQQ902(1)/UQW140(3)/UBA200(1)/UJC100(3)/UQB100(1)/UOA120(1)
4159036032200290000,2021,8,76968,121686.0,75100,Re2,Lc05,121686,A164,A200,Us720,Hg03,Fm04,Rs10,96,0.303,2.463,95.435,0.381,2.818,110.86,102.75,2901,0,0,1,682,0,4,58,469,1,1,25,469,1,1,4,2266,0,0,29,663,0,3,10,676,0,1,24,3197,0,0,0,793,0,2,18,700,0,2,3,711,0,2,74,2370,0,0,2,493,2,10,27,553,0,13,23,555,0,36,354,811,0,3,51,762,0,1,7,1024,0,0,6,UMZ100(1)/UQQ902(1)/UOA120(2)/UJD100(2)/UEG100(3)/UQQ902(3)/UBA200(1)/UQB100(1)/UFM110(3)
